Patient_ID,roi_mean,roi_std,roi_p10,roi_p90,roi_median,mask_pixels,mask_roi_overlap
HN-CHUM-001,98.5129,42.7536,43.0,147.0,109.0,41888,0.041288
HN-CHUM-002,121.3081,55.9946,53.0,186.0,145.0,22464,0.000835
HN-CHUM-003,118.9997,40.0096,53.0,167.0,119.0,56656,0.039606
HN-CHUM-004,121.0905,47.9741,58.0,175.0,140.0,56592,0.003109
HN-CHUM-005,106.9978,30.7718,80.0,132.0,105.0,55488,0.009
HN-CHUM-006,106.778,62.4662,24.0,175.0,135.0,63968,0.090232
HN-CHUM-007,112.726,39.7852,49.0,152.0,126.0,51216,0.0
HN-CHUM-008,108.4137,55.4091,27.0,162.0,131.0,65280,0.050785
HN-CHUM-009,123.85,43.0226,46.0,162.0,134.0,95888,0.067381
HN-CHUM-010,71.204,50.8118,28.0,156.0,50.0,77424,0.115593
HN-CHUM-011,123.3085,31.8249,80.0,158.0,128.0,58208,0.0
HN-CHUM-012,105.5183,59.2844,31.0,165.0,134.0,55056,0.068531
HN-CHUM-013,80.8962,40.1714,30.0,113.0,93.0,30776,0.0
HN-CHUM-014,83.4562,56.8997,9.0,154.0,100.0,72168,0.0
HN-CHUM-015,87.4729,58.0781,23.0,157.0,50.0,57744,0.115868
HN-CHUM-016,132.1274,39.8767,55.0,170.0,138.0,39200,0.0
HN-CHUM-017,117.9616,44.1501,41.0,172.0,122.0,80304,0.038337
HN-CHUM-018,128.7553,42.5214,51.0,166.0,135.0,59104,0.021207
HN-CHUM-019,95.4113,52.9836,23.0,150.0,119.0,63248,0.025604
HN-CHUM-020,107.6524,32.2729,74.0,136.0,105.0,5136,0.00496
HN-CHUM-021,119.5396,44.4343,37.0,169.0,125.0,34832,0.009656
HN-CHUM-022,98.924,49.141,26.0,149.0,116.0,62752,0.115561
HN-CHUM-023,99.3572,56.5839,16.0,159.0,128.0,117264,0.073113
HN-CHUM-024,124.2891,42.6507,50.0,164.0,131.0,47192,0.0
HN-CHUM-025,103.1735,49.2658,31.0,161.0,116.0,103648,0.098851
HN-CHUM-026,108.2349,50.0434,36.0,163.0,127.0,45528,0.0
HN-CHUM-027,88.2953,54.5366,21.0,149.0,113.0,63808,0.120066
HN-CHUM-028,102.1687,55.3134,23.0,155.0,125.0,78680,0.039088
HN-CHUM-029,117.022,52.4685,26.0,170.0,133.0,100840,0.075228
HN-CHUM-030,103.705,52.2768,31.0,155.0,124.0,79712,0.029432
HN-CHUM-031,122.1647,42.9679,51.0,160.0,136.0,32032,0.0
HN-CHUM-032,121.2698,30.0604,87.0,164.0,118.0,70264,0.0
HN-CHUM-033,114.6001,36.2978,46.0,155.0,122.0,26704,0.0
HN-CHUM-034,96.8295,56.3407,23.0,155.0,124.0,120096,0.159334
HN-CHUM-035,128.1205,30.0211,103.0,157.0,134.0,17952,0.015694
HN-CHUM-036,119.3504,40.4718,63.0,169.0,124.0,83896,0.020583
HN-CHUM-037,109.4112,48.0687,22.0,152.0,125.0,71720,0.057172
HN-CHUM-038,110.4322,38.5646,73.0,154.0,110.0,125640,0.003789
HN-CHUM-039,108.0867,55.0095,32.0,159.0,135.0,108760,0.137791
HN-CHUM-040,96.0032,43.98,42.0,151.0,101.0,21760,0.056728
HN-CHUM-041,114.3816,47.6476,31.0,162.0,125.0,83824,0.066616
HN-CHUM-042,115.8893,49.9651,28.0,178.0,119.0,85016,0.018349
HN-CHUM-043,96.6629,51.2453,34.0,152.0,117.0,29216,0.045222
HN-CHUM-044,108.6142,49.2855,23.0,150.0,127.0,87576,0.081306
HN-CHUM-045,114.3504,44.2072,32.0,151.0,128.0,95864,0.078556
HN-CHUM-046,90.5075,57.9597,23.0,160.0,73.0,58384,0.069038
HN-CHUM-047,107.1083,48.7145,29.0,153.0,123.0,86736,0.072105
HN-CHUM-048,98.4551,53.2359,26.0,152.0,117.0,43024,0.058896
HN-CHUM-049,105.5101,59.0359,22.0,166.0,138.0,78576,0.113266
HN-CHUM-050,91.2715,52.6854,16.0,148.0,114.0,145248,0.10802
HN-CHUM-051,101.0388,43.35,40.0,151.0,122.0,25056,0.010999
HN-CHUM-052,96.3262,41.0586,35.0,148.0,104.0,15200,0.026418
HN-CHUM-053,102.5679,53.7805,26.0,161.0,126.0,82680,0.033187
HN-CHUM-054,102.4975,39.493,35.0,148.0,110.0,82208,0.0
HN-CHUM-055,90.7728,51.4903,32.0,146.0,100.0,24112,0.06375
HN-CHUM-056,117.9728,39.5953,46.0,155.0,125.0,72720,0.059629
HN-CHUM-057,97.4042,53.8474,21.0,149.0,127.0,65936,0.138669
HN-CHUM-058,111.3438,47.1917,38.0,159.0,128.0,84184,0.069028
HN-CHUM-059,115.3217,42.3304,34.0,153.0,128.0,95072,0.102577
HN-CHUM-060,96.7053,52.1092,27.0,155.0,111.0,68896,0.127395
HN-CHUM-061,96.9244,51.3699,34.0,161.0,114.0,56376,0.078324
HN-CHUM-062,111.4294,55.608,22.0,160.0,131.0,38976,0.056083
HN-CHUM-063,115.0644,35.6455,54.0,143.0,119.0,37248,0.030947
HN-CHUM-064,92.7654,63.129,10.0,167.0,118.0,121984,0.136691
HN-CHUM-065,133.3282,50.1507,54.0,182.0,153.0,50640,0.061085
HN-CHUS-001,105.9128,31.3418,80.0,140.0,107.0,146312,3.2e-05
HN-CHUS-002,106.4731,34.5997,67.0,148.0,104.0,116328,0.007625
HN-CHUS-003,87.5488,55.7779,19.0,147.0,108.0,44480,0.040949
HN-CHUS-004,84.917,56.9585,20.0,149.0,72.0,38496,0.092749
HN-CHUS-005,97.9373,53.5895,8.0,153.0,110.0,120256,0.126686
HN-CHUS-006,82.16,54.9196,18.0,136.0,103.0,34880,0.073015
HN-CHUS-007,89.591,52.2424,23.0,146.0,107.0,29440,0.055322
HN-CHUS-008,91.9039,55.8439,18.0,155.0,109.0,68496,0.073173
HN-CHUS-009,114.638,48.2989,38.0,163.0,128.0,47904,0.046903
HN-CHUS-010,92.0649,53.4294,22.0,140.0,109.0,33584,0.002253
HN-CHUS-011,84.4341,51.2671,18.0,134.0,103.0,50176,0.019724
HN-CHUS-012,90.1603,53.4163,18.0,137.0,107.0,48272,0.047073
HN-CHUS-013,85.6318,49.7306,18.0,123.0,104.0,34816,0.083675
HN-CHUS-014,83.9362,54.9529,18.0,135.0,101.0,40224,0.066564
HN-CHUS-015,85.074,56.2892,13.0,140.0,107.0,39264,0.044154
HN-CHUS-016,97.9476,51.2601,20.0,137.0,121.0,54800,0.064639
HN-CHUS-017,81.127,55.6086,16.0,140.0,100.0,24592,0.058938
HN-CHUS-018,94.2925,64.2542,0.0,153.0,127.0,118064,0.067695
HN-CHUS-019,79.4034,54.0253,17.0,134.0,98.0,26304,0.053809
HN-CHUS-020,76.5328,60.2418,16.0,157.0,41.0,45712,0.021331
HN-CHUS-021,86.7009,54.4898,13.0,130.0,109.0,42600,0.0
HN-CHUS-022,83.3761,54.9492,15.0,142.0,105.0,46208,0.114598
HN-CHUS-023,87.2667,52.3368,20.0,132.0,105.0,59504,0.086689
HN-CHUS-024,87.217,52.6988,20.0,142.0,111.0,105568,0.172723
HN-CHUS-025,53.5308,41.2129,27.0,100.0,40.0,40552,0.0
HN-CHUS-026,89.0375,67.0166,15.0,162.0,102.0,65120,0.086763
HN-CHUS-027,82.9813,56.1398,19.0,143.0,105.0,24080,0.063666
HN-CHUS-028,90.5541,58.8248,24.0,159.0,81.0,110208,0.017862
HN-CHUS-029,77.9208,55.4977,22.0,150.0,36.0,33088,0.087482
HN-CHUS-030,80.9783,60.3539,22.0,158.0,38.0,50048,0.129478
HN-CHUS-031,53.9992,48.9965,21.0,128.0,35.0,34576,0.0
HN-CHUS-032,88.6502,52.9922,26.0,130.0,108.0,31248,0.068298
HN-CHUS-033,83.1275,58.8896,21.0,153.0,56.0,37040,0.097931
HN-CHUS-034,85.3004,43.8681,28.0,121.0,100.0,37040,0.097931
HN-CHUS-035,80.6446,38.7462,31.0,124.0,87.0,70624,0.148652
HN-CHUS-036,90.9238,54.4847,21.0,149.0,116.0,97336,0.11647
HN-CHUS-037,83.4307,43.2157,30.0,116.0,94.0,45424,0.018486
HN-CHUS-038,92.1891,61.8411,16.0,160.0,104.0,67936,0.058135
HN-CHUS-039,87.6989,61.533,16.0,167.0,56.0,89384,0.088889
HN-CHUS-040,88.8052,50.9395,28.0,133.0,109.0,95296,0.161703
HN-CHUS-041,91.1271,53.8719,24.0,164.0,102.0,46224,0.120034
HN-CHUS-042,90.6838,42.9546,35.0,124.0,103.0,42912,0.024261
HN-CHUS-043,84.5501,40.0005,35.0,116.0,96.0,29168,0.077118
HN-CHUS-044,103.7783,54.4246,24.0,162.0,128.0,51848,0.011467
HN-CHUS-045,96.8072,63.4995,16.0,172.0,126.0,56304,0.037861
HN-CHUS-046,79.5546,53.4797,22.0,150.0,50.0,34816,0.092051
HN-CHUS-047,85.5749,53.872,22.0,131.0,103.0,74800,0.035714
HN-CHUS-048,86.1926,53.5718,26.0,144.0,79.0,38336,0.101358
HN-CHUS-049,84.4214,58.9534,19.0,151.0,75.0,73208,0.11334
HN-CHUS-050,83.7057,55.2688,26.0,149.0,60.0,38592,0.102035
HN-CHUS-051,80.4963,51.3319,18.0,143.0,82.0,49560,0.007276
HN-CHUS-052,84.7301,50.6939,30.0,142.0,97.0,75696,0.102257
HN-CHUS-053,80.9564,73.3607,2.0,176.0,35.0,162608,0.107259
HN-CHUS-054,106.5418,32.8027,54.0,138.0,110.0,45568,0.034501
HN-CHUS-055,87.2065,47.4849,28.0,127.0,105.0,85888,0.098111
HN-CHUS-056,66.0829,62.9163,22.0,188.0,36.0,30592,0.011718
HN-CHUS-057,88.9298,51.4308,29.0,142.0,106.0,36192,0.095689
HN-CHUS-058,80.729,50.9044,25.0,136.0,71.0,28336,0.074918
HN-CHUS-059,97.4156,38.4984,32.0,140.0,108.0,101928,0.105242
HN-CHUS-060,89.7676,57.9328,17.0,157.0,109.0,51512,0.011636
HN-CHUS-061,87.9394,46.1399,32.0,128.0,97.0,67440,0.123154
HN-CHUS-062,84.9266,49.4403,25.0,132.0,105.0,34264,0.02406
HN-CHUS-063,102.6245,51.0089,40.0,157.0,128.0,69424,0.138225
HN-CHUS-064,75.4014,52.0145,19.0,142.0,48.0,38176,0.100892
HN-CHUS-065,59.3781,52.6448,20.0,134.0,38.0,37680,0.037396
HN-CHUS-066,86.104,55.2797,24.0,147.0,104.0,35280,0.020242
HN-CHUS-067,79.3854,43.4046,27.0,119.0,93.0,58528,0.080598
HN-CHUS-068,76.1104,42.9715,22.0,115.0,88.0,31872,0.083495
HN-CHUS-069,76.8857,52.5879,18.0,133.0,75.0,27648,0.0
HN-CHUS-070,86.9809,44.699,32.0,118.0,100.0,27680,0.073184
HN-CHUS-071,90.3735,45.7669,32.0,124.0,103.0,34768,0.003945
HN-CHUS-072,100.7566,51.8324,30.0,160.0,122.0,54128,0.024464
HN-CHUS-073,88.108,54.5599,28.0,153.0,58.0,38856,0.045137
HN-CHUS-074,83.1562,42.5466,32.0,117.0,96.0,72912,0.094653
HN-CHUS-075,83.8208,55.1769,26.0,136.0,86.0,63456,0.119907
HN-CHUS-076,78.2239,49.38,30.0,130.0,57.0,37728,0.078303
HN-CHUS-077,85.9823,65.4207,16.0,175.0,48.0,45632,0.119125
HN-CHUS-078,57.742,51.1084,20.0,121.0,42.0,35000,0.0
HN-CHUS-080,85.3089,50.3742,29.0,140.0,98.0,36480,0.0
HN-CHUS-081,82.847,56.6872,22.0,153.0,96.0,69472,0.133307
HN-CHUS-082,85.8675,56.0961,20.0,147.0,107.0,61952,0.120574
HN-CHUS-083,99.5807,51.6338,24.0,158.0,124.0,53304,0.018024
HN-CHUS-084,55.8411,47.3181,20.0,118.0,40.0,28808,0.0
HN-CHUS-085,79.9693,57.2357,23.0,155.0,46.0,79328,0.143745
HN-CHUS-086,82.9999,53.4401,35.0,160.0,54.0,33200,0.036232
HN-CHUS-087,68.3387,50.317,26.0,140.0,44.0,39616,0.082829
HN-CHUS-088,75.4783,50.8681,28.0,156.0,50.0,33664,0.071291
HN-CHUS-089,75.5509,41.831,36.0,134.0,55.0,26288,0.069504
HN-CHUS-090,83.3248,47.0177,26.0,121.0,96.0,39216,0.100765
HN-CHUS-091,106.0781,49.6641,34.0,165.0,128.0,58056,0.030873
HN-CHUS-092,84.3061,53.1668,25.0,146.0,98.0,36896,0.0
HN-CHUS-093,66.2022,58.8695,19.0,178.0,45.0,32272,0.007191
HN-CHUS-094,92.4721,54.6818,38.0,169.0,71.0,40592,0.104023
HN-CHUS-095,85.0737,54.9789,28.0,159.0,53.0,53064,0.087757
HN-CHUS-096,80.374,52.6498,21.0,144.0,51.0,50000,0.115667
HN-CHUS-097,82.4179,54.6046,22.0,153.0,54.0,63728,0.140097
HN-CHUS-098,114.8729,50.2348,36.0,165.0,137.0,120704,0.000444
HN-CHUS-099,88.8953,42.8811,32.0,134.0,106.0,98976,0.131604
HN-CHUS-100,75.6998,58.984,15.0,150.0,46.0,53592,0.072465
HN-CHUS-101,83.7176,59.5578,15.0,161.0,54.0,64064,0.115487
HN-CHUS-102,81.9736,57.3614,34.0,156.0,50.0,39152,0.103515
HN-HGJ-001,107.642,43.3623,39.0,133.0,117.0,52880,0.104615
HN-HGJ-002,100.698,50.1343,44.0,171.0,105.0,44000,0.093373
HN-HGJ-003,89.3492,41.4994,49.0,132.0,71.0,34048,0.09002
HN-HGJ-004,110.8328,35.7609,65.0,154.0,121.0,104960,0.126316
HN-HGJ-005,112.0328,30.6988,67.0,146.0,120.0,91040,0.094568
HN-HGJ-006,93.6497,52.5592,38.0,163.0,102.0,58640,0.139525
HN-HGJ-007,98.0976,48.8651,46.0,157.0,101.0,43840,0.115339
HN-HGJ-008,108.9556,34.0706,67.0,146.0,115.0,82912,0.093161
HN-HGJ-009,116.5771,33.2289,71.0,153.0,130.0,107976,0.106043
HN-HGJ-010,118.5189,41.6273,62.0,164.0,137.0,106640,0.113308
HN-HGJ-011,104.9118,33.0737,65.0,145.0,113.0,58464,0.076568
HN-HGJ-012,105.6204,32.5877,65.0,146.0,113.0,100056,0.074326
HN-HGJ-013,72.6042,34.9576,40.0,108.0,53.0,32912,0.087017
HN-HGJ-014,84.5241,35.9117,51.0,131.0,67.0,37168,0.078408
HN-HGJ-015,126.8947,33.3809,73.0,158.0,138.0,78304,0.087831
HN-HGJ-016,88.5569,44.3291,51.0,151.0,61.0,31696,0.083802
HN-HGJ-017,114.7881,46.9581,61.0,170.0,134.0,69264,0.135126
HN-HGJ-018,107.5877,37.2333,55.0,152.0,118.0,66312,0.0643
HN-HGJ-019,96.8581,48.2199,42.0,160.0,106.0,49088,0.125608
HN-HGJ-020,92.1764,39.3335,28.0,148.0,96.0,48768,0.098587
HN-HGJ-021,104.5949,30.6136,67.0,140.0,113.0,95848,0.107608
HN-HGJ-022,103.0504,35.1452,59.0,147.0,114.0,109720,0.118966
HN-HGJ-023,81.8194,51.1809,44.0,159.0,59.0,34672,0.09167
HN-HGJ-024,118.5164,39.848,67.0,167.0,129.0,97160,0.127882
HN-HGJ-025,115.6773,32.5034,62.0,152.0,126.0,115504,0.134967
HN-HGJ-026,117.6723,44.3404,60.0,166.0,128.0,23328,0.032288
HN-HGJ-027,110.8189,32.587,71.0,148.0,119.0,40296,0.006747
HN-HGJ-028,122.2483,25.2157,83.0,152.0,128.0,16544,0.0
HN-HGJ-029,121.4789,39.5881,65.0,160.0,136.0,42512,0.0992
HN-HGJ-030,92.4812,38.8886,55.0,140.0,71.0,30384,0.080333
HN-HGJ-031,102.1632,30.5252,59.0,138.0,111.0,75296,0.097815
HN-HGJ-032,121.1714,46.6686,61.0,170.0,146.0,81264,0.120658
HN-HGJ-033,112.3823,35.6771,65.0,153.0,126.0,97176,0.140393
HN-HGJ-034,128.56,46.8758,69.0,183.0,146.0,92320,0.136765
HN-HGJ-035,111.5972,31.2201,71.0,144.0,120.0,57984,0.084183
HN-HGJ-036,117.7727,24.3398,73.0,144.0,123.0,14336,0.0
HN-HGJ-037,101.4785,46.6541,58.0,168.0,100.0,36784,0.078155
HN-HGJ-038,114.6074,36.2246,65.0,157.0,127.0,97448,0.118564
HN-HGJ-039,120.2648,32.1471,67.0,154.0,128.0,83472,0.124815
HN-HGJ-040,111.3207,33.1719,71.0,148.0,125.0,42224,0.093257
HN-HGJ-041,78.5659,25.2767,48.0,112.0,66.0,31008,0.075162
HN-HGJ-042,82.5387,37.2127,40.0,130.0,88.0,37440,0.092992
HN-HGJ-043,111.8884,32.6136,67.0,148.0,121.0,102208,0.105049
HN-HGJ-044,88.4236,64.1016,36.0,205.0,55.0,35216,0.0
HN-HGJ-045,78.1252,27.5692,45.0,110.0,83.0,34688,0.052233
HN-HGJ-046,74.2518,23.8342,46.0,103.0,79.0,21272,0.0
HN-HGJ-047,111.1389,11.4648,96.0,124.0,113.0,21152,0.0
HN-HGJ-048,114.3714,41.3218,53.0,160.0,129.0,85392,0.148779
HN-HGJ-049,96.2179,41.3438,47.0,141.0,107.0,103584,0.185657
HN-HGJ-050,93.532,45.7729,44.0,145.0,100.0,33184,0.085695
HN-HGJ-051,134.5424,22.6395,90.0,155.0,140.0,19168,0.0
HN-HGJ-052,107.9933,46.3612,61.0,167.0,79.0,17760,0.005478
HN-HGJ-053,105.8936,35.6024,68.0,150.0,112.0,98304,0.072581
HN-HGJ-054,105.7269,37.7023,55.0,152.0,115.0,131856,0.150366
HN-HGJ-055,78.6247,34.4923,45.0,125.0,60.0,39488,0.092918
HN-HGJ-056,130.9489,41.8868,62.0,175.0,145.0,98384,0.139843
HN-HGJ-057,106.6195,48.2467,59.0,163.0,76.0,73224,0.0
HN-HGJ-058,114.6725,31.5019,65.0,148.0,125.0,73056,0.106995
HN-HGJ-059,106.9342,31.2605,71.0,142.0,113.0,69496,0.076198
HN-HGJ-060,117.5034,41.8006,75.0,168.0,124.0,28320,0.03913
HN-HGJ-061,111.5356,35.8767,53.0,148.0,125.0,104144,0.105144
HN-HGJ-062,113.4037,42.5015,55.0,158.0,133.0,114832,0.158509
HN-HGJ-063,109.8049,39.0092,55.0,152.0,124.0,89040,0.149255
HN-HGJ-064,98.8933,47.0569,44.0,165.0,106.0,41552,0.094008
HN-HGJ-065,79.196,30.1904,44.0,121.0,85.0,16760,0.0
HN-HGJ-066,102.4754,33.7671,62.0,142.0,113.0,50384,0.077213
HN-HGJ-067,120.7366,26.3974,77.0,147.0,129.0,15920,0.0
HN-HGJ-069,118.8718,24.7256,77.0,144.0,125.0,43512,0.061519
HN-HGJ-070,130.9975,36.7912,77.0,167.0,146.0,110760,0.117813
HN-HGJ-071,112.712,30.2835,68.0,145.0,120.0,99584,0.085272
HN-HGJ-072,123.592,34.2111,67.0,158.0,135.0,127976,0.13594
HN-HGJ-073,99.3584,48.9908,43.0,173.0,101.0,34800,0.092009
HN-HGJ-074,91.9815,41.8318,48.0,139.0,101.0,50368,0.111225
HN-HGJ-075,131.5644,43.1513,68.0,174.0,148.0,86696,0.10122
HN-HGJ-076,117.9289,31.3827,67.0,152.0,128.0,107160,0.116513
HN-HGJ-077,113.9835,36.6656,73.0,158.0,128.0,62640,0.07697
HN-HGJ-078,94.8496,52.3874,39.0,162.0,103.0,49632,0.12124
HN-HGJ-079,104.6544,34.7431,67.0,147.0,109.0,84776,0.080449
HN-HGJ-080,86.9713,42.6179,44.0,142.0,90.0,39232,0.103335
HN-HGJ-081,109.4878,39.5839,61.0,153.0,123.0,56896,0.093341
HN-HGJ-082,109.6391,40.024,67.0,157.0,121.0,65840,0.099465
HN-HGJ-083,107.9589,49.6923,46.0,169.0,122.0,43712,0.114588
HN-HGJ-084,106.4779,31.6035,65.0,145.0,116.0,21560,0.0
HN-HGJ-085,81.1589,50.2902,38.0,167.0,72.0,45664,0.120732
HN-HGJ-086,88.3982,48.8816,41.0,152.0,82.0,51104,0.133698
HN-HGJ-087,108.9999,33.3626,67.0,146.0,115.0,96880,0.089608
HN-HGJ-088,93.5519,7.9886,85.0,104.0,89.0,1280,0.003384
HN-HGJ-089,68.0967,37.0826,36.0,94.0,61.0,36752,0.09717
HN-HGJ-090,71.9527,10.5853,61.0,86.0,68.0,2000,0.0
HN-HGJ-091,77.2208,46.309,35.0,115.0,67.0,28496,0.075341
HN-HGJ-092,72.0093,21.7391,46.0,98.0,80.0,52160,0.096577
HN-HMR-001,136.2379,42.3473,58.0,175.0,148.0,41088,0.0
HN-HMR-002,80.7957,59.3667,16.0,160.0,47.0,57280,0.080386
HN-HMR-003,101.7464,43.9855,44.0,153.0,117.0,29264,0.007625
HN-HMR-004,81.1543,47.8515,44.0,134.0,64.0,21808,0.057659
HN-HMR-005,114.7757,48.5556,49.0,183.0,115.0,33840,0.084997
HN-HMR-006,114.8961,49.8685,37.0,181.0,122.0,39808,0.055057
HN-HMR-007,88.3687,63.8777,40.0,210.0,57.0,51136,0.135115
HN-HMR-008,92.7091,33.4444,60.0,117.0,87.0,18176,0.0
HN-HMR-009,89.2671,39.3179,57.0,163.0,78.0,18688,0.04941
HN-HMR-010,86.4195,49.2245,50.0,156.0,68.0,30896,0.081687
HN-HMR-011,106.6328,28.366,80.0,146.0,101.0,22208,0.0
HN-HMR-012,90.2284,49.8137,37.0,153.0,67.0,29072,0.044397
HN-HMR-013,87.077,56.4041,13.0,148.0,113.0,59248,0.0
HN-HMR-014,124.9592,41.2251,65.0,187.0,119.0,26224,0.010925
HN-HMR-015,103.1095,65.5126,29.0,182.0,98.0,65456,0.084714
HN-HMR-016,111.1907,48.3877,52.0,168.0,131.0,41408,0.0
HN-HMR-017,113.6871,42.2687,48.0,168.0,117.0,15944,0.0
HN-HMR-018,105.7036,48.5312,44.0,172.0,111.0,18616,0.0
HN-HMR-019,107.0023,43.0174,47.0,154.0,120.0,21792,0.054105
HN-HMR-020,115.4813,40.8542,62.0,166.0,115.0,21232,0.051715
HN-HMR-021,128.6611,42.3793,55.0,176.0,133.0,40064,0.009447
HN-HMR-022,124.0915,34.742,77.0,166.0,125.0,42344,0.0
HN-HMR-023,104.8106,29.6949,67.0,147.0,105.0,14480,0.001068
HN-HMR-024,98.9321,35.8328,57.0,137.0,109.0,22192,0.058674
HN-HMR-025,84.9916,37.9067,35.0,127.0,93.0,24624,0.059361
HN-HMR-026,80.8325,57.7776,35.0,183.0,56.0,40896,0.108126
HN-HMR-027,120.6589,42.8119,59.0,166.0,135.0,50400,0.0
HN-HMR-028,116.0593,47.3578,41.0,173.0,127.0,45560,0.0
HN-HMR-029,108.573,50.4142,46.0,174.0,120.0,18944,0.0
HN-HMR-030,115.6436,38.7473,55.0,153.0,124.0,13168,0.031939
HN-HMR-031,126.5712,50.1081,57.0,179.0,144.0,38560,0.0
HN-HMR-032,81.4857,35.3387,47.0,121.0,68.0,21808,0.0
HN-HMR-033,116.0623,49.6697,41.0,170.0,135.0,47992,0.017027
HN-HMR-034,75.6655,53.0013,36.0,148.0,57.0,25392,0.0
HN-HMR-035,98.8768,51.61,42.0,168.0,102.0,24752,0.011221
HN-HMR-036,75.3223,58.199,14.0,153.0,47.0,35664,0.085833
HN-HMR-037,107.2002,51.1262,50.0,170.0,85.0,55536,0.0
HN-HMR-038,103.6394,52.7266,43.0,186.0,109.0,39568,0.094092
HN-HMR-039,126.9844,36.8395,71.0,166.0,134.0,59736,3.2e-05
HN-HMR-040,104.0701,34.5449,56.0,138.0,117.0,18720,0.0
HN-HMR-041,80.1851,57.5748,20.0,156.0,47.0,34904,0.0
